CARRERA,F1clase_miedo_mano_participar,F1participacion_disminuir_voz_nervios_opinion,F1participacion_muerdo_unas_participar,F1participacion_salirme_salon_evitar_participar,F1bano_otro_lugar_evitar_exponer_atrasarlo,F1exposicion_enfermo_faltado_exponer,F1examen_oral_reprobar_presentar,F1examen_oral_evito_presentarme,F1equipo_espero_elijan_proponerme,F1dialogo_evito_opinion_voluntaria,F1dialogo_votar_evitar_expresar,F1dialogo_opinan_demas_evitar,F1conferencia_publico_miedo_responder,F1conferecia_miedo_levantar_mano,F1participacion_pensar_participo_equivocado,F1participacion_profesor_enojar_participaciones,F1participacion_pensar_companeros_burlan,F1participacion_companeros_evaluan_negativamente,F1participacion_pregunta_no_valida,F1exposicion_clase_presentar_tema,F1exposicion_pienso_carezco_autoridad,F1exposicion_platicando_incapaz_atencion,F1expongo_miedo_preguntas_responder,F1examen_presentar_pienso_estudiado,F1examen_pienso_reprobar_responder,F1examen_creer_dar_entender,F1examen_miedo_acomodar_palabras,F1equipo_suficiente_amistad_unirme,F1equipo_pensar_suficiente_opinion,F1equipo_aceptar_conocimientos_examenes,F1equipo_pienso_evito_ideas,F1equipo_pienso_conocimientos_integrantes,F1equipo_pensar_companeros_evito,F1dialogo_actividades_excesivamente_argumento,F1dialogo_participo_mesas_entender,F1social_conversaciones_divertidas_companeros,F1social_convivo_parte_grupo,F1social_companeros_tema_conversacion,F1social_platico_miedo_atencion,F1social_companeros_burlar_digo,F1conferencias_pienso_preguntas_responder,F1_conferencias_pienso_conocimiento_burlar,F1conferencias_miedo_publico_charlatan,CF1
Psico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bajo
Psico,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bajo
Enfe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bajo
Psico,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bajo
Psico,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bajo
Medico,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Bajo
Psico,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,2,0,3,2,2,Bajo
Psico,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,2,0,0,0,0,Bajo
Eco,2,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,Bajo
Enfe,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,Bajo
Enfe,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,2,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,1,0,0,0,0,Bajo
Enfe,1,1,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Bajo
Medico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3,0,3,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,Bajo
Psico,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bajo
Psico,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,1,1,1,0,2,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,Bajo
Enfe,2,3,1,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bajo
Eco,2,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,Bajo
Enfe,2,3,1,2,1,0,0,0,2,3,2,1,0,1,1,1,0,1,1,0,1,0,0,2,2,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Normal
Eco,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,1,0,0,1,1,1,2,2,1,0,0,0,0,0,0,1,2,2,2,1,2,2,1,0,Normal
Medico,1,1,1,0,0,0,0,0,0,1,1,0,0,2,1,0,1,2,1,0,1,1,0,2,2,0,1,1,1,0,0,0,0,1,1,0,2,1,1,0,0,0,0,Bajo
Psico,2,2,0,0,0,0,0,0,0,1,1,0,1,1,2,2,1,1,2,1,2,2,2,1,1,2,2,0,0,0,1,0,1,2,2,1,0,0,0,0,1,1,0,Normal
Enfe,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,2,2,2,2,2,1,2,1,1,0,1,1,0,2,2,1,1,2,2,1,Normal
Psico,0,1,0,0,0,0,0,0,0,1,1,3,1,1,2,1,1,2,1,1,2,1,2,3,1,1,1,2,0,0,2,1,2,2,2,1,0,0,0,1,1,2,2,Normal
Enfe,2,2,4,2,3,2,0,0,1,2,0,0,2,1,1,0,0,0,0,2,2,2,2,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,Normal
Psico,2,1,0,0,0,0,0,0,0,0,1,2,2,2,2,1,1,1,1,1,1,0,3,3,3,2,2,0,0,0,1,0,0,3,3,0,2,0,2,0,3,2,1,Normal
Eco,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,2,0,0,0,0,0,2,2,1,2,2,0,0,0,1,0,1,0,2,2,2,2,1,0,0,0,Normal
Medico,2,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,1,1,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,Bajo
Psico,1,2,1,1,0,0,0,0,1,1,1,1,2,2,2,1,0,0,0,0,1,2,1,1,2,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,2,Normal
Medico,1,2,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,Bajo
Eco,1,2,0,0,0,0,0,0,1,2,2,0,2,2,2,0,0,1,2,0,0,0,2,2,2,3,3,0,1,0,0,0,1,0,2,2,0,0,1,0,2,2,2,Normal
Eco,0,2,0,0,0,0,0,0,3,0,0,1,2,1,2,1,0,1,1,0,0,0,2,1,1,1,2,2,1,0,0,0,0,1,1,1,0,0,2,0,3,1,0,Normal
Eco,1,1,0,0,2,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,2,3,0,0,0,0,2,2,2,2,1,3,0,0,2,1,0,Normal
Enfe,3,3,0,2,3,0,0,0,1,3,1,1,1,2,2,0,2,1,1,1,3,3,1,2,2,2,3,0,0,0,0,0,0,1,2,1,1,0,2,2,0,0,0,Normal
Eco,2,2,1,1,1,0,0,0,1,2,0,0,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1,1,2,1,1,2,2,2,1,1,0,1,0,1,1,0,Normal
Medico,2,2,0,0,0,0,0,0,2,0,0,0,2,2,3,1,0,0,1,2,1,2,0,3,3,0,2,1,0,0,0,0,0,1,0,3,2,0,2,0,0,0,0,Normal
Enfe,2,1,1,2,1,0,0,1,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,3,2,1,1,0,1,2,1,1,1,0,0,0,0,0,0,Normal
Enfe,2,2,0,1,0,0,0,0,0,0,0,0,3,2,1,2,1,1,1,2,1,1,2,2,2,3,3,0,0,0,0,0,0,1,1,2,1,1,3,2,2,2,2,Normal
Enfe,2,2,1,0,0,0,0,2,0,2,0,0,2,2,2,0,2,1,1,2,0,0,2,4,4,4,4,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,Normal
Psico,2,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,2,2,2,2,2,0,1,2,2,2,Normal
Medico,2,2,0,0,0,0,0,0,1,3,0,0,1,2,2,2,2,3,2,2,1,1,1,3,3,2,2,1,1,1,1,2,2,1,2,0,1,0,1,1,2,2,1,Normal
Eco,2,2,0,0,0,0,1,0,0,1,0,0,2,2,3,2,1,0,2,1,0,0,2,2,3,4,3,0,1,0,0,0,1,1,2,2,0,0,0,0,3,1,2,Normal
Eco,1,1,2,1,1,0,0,0,0,1,1,0,2,1,1,1,2,2,1,0,1,2,3,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,Normal
Eco,2,1,0,0,0,0,0,2,0,2,0,0,2,4,0,2,2,1,0,2,0,1,2,2,1,3,3,0,0,0,0,0,1,0,2,0,0,2,3,1,2,2,1,Normal
Medico,3,2,0,0,0,2,0,0,0,4,0,1,2,2,2,3,2,2,2,1,1,1,1,0,1,1,1,2,1,1,1,2,3,2,2,0,0,0,0,2,1,1,0,Normal
Eco,4,2,0,1,0,0,0,0,0,4,0,0,0,4,4,1,3,4,4,0,0,0,0,2,1,2,2,0,0,0,0,0,1,4,4,2,0,0,3,0,0,0,0,Normal
Psico,2,1,0,0,0,0,0,0,0,2,0,2,2,3,1,0,2,2,1,1,1,0,2,3,3,2,2,0,0,0,2,0,2,1,1,2,1,1,1,1,3,2,1,Normal
Eco,3,2,0,0,0,0,1,0,3,1,0,2,1,1,2,1,2,1,0,1,3,2,2,2,1,2,2,0,1,2,1,1,3,2,2,1,0,0,1,1,2,2,0,Normal
Medico,2,1,0,0,0,0,0,2,2,0,0,0,0,4,2,2,4,4,1,1,0,0,2,4,4,4,4,0,0,0,2,1,0,0,0,2,1,1,2,0,2,2,2,Normal
Medico,1,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,2,1,0,0,1,1,2,2,0,0,2,0,0,0,0,0,1,0,3,3,0,3,3,1,0,1,Normal
Eco,2,2,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,0,1,2,2,2,2,2,0,1,2,2,2,Normal
Psico,2,0,0,1,0,0,0,0,0,3,0,1,3,2,0,1,3,0,0,3,2,1,3,0,1,2,0,0,1,0,0,0,3,1,2,2,2,1,0,1,2,2,0,Normal
Psico,2,2,0,0,0,0,0,0,1,2,0,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,0,2,1,0,0,1,2,2,2,0,0,2,2,1,0,0,Normal
Psico,1,2,0,0,0,0,0,0,1,2,1,0,1,2,2,1,2,1,1,2,0,1,3,2,1,2,2,0,0,0,0,0,0,1,2,0,2,0,0,1,3,1,1,Normal
Psico,2,1,0,0,0,0,1,1,2,1,0,1,3,3,2,2,2,2,2,1,0,0,1,1,2,1,1,2,1,1,1,1,0,2,2,1,2,2,2,2,1,2,2,Normal
Psico,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,1,1,2,1,1,2,1,1,1,2,2,2,2,Normal
Psico,2,2,0,0,0,0,0,0,1,1,0,0,0,3,1,2,0,0,2,2,1,2,0,1,1,0,0,1,1,0,1,2,0,2,1,4,1,2,1,0,0,0,0,Normal
Enfe,3,2,1,0,2,0,0,1,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,0,0,0,1,0,2,1,1,Normal
Enfe,1,3,1,1,1,0,0,2,0,1,0,1,1,1,2,2,2,1,0,2,2,1,3,2,2,1,2,2,2,1,1,1,2,2,2,1,1,0,2,0,2,2,2,Normal
Psico,0,1,0,0,0,0,0,2,1,0,1,0,2,1,1,1,2,1,1,1,0,1,3,2,2,3,3,2,1,0,0,2,0,1,1,0,2,1,2,2,2,2,2,Normal
Enfe,2,2,3,1,1,0,1,0,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,Normal
Psico,1,2,0,1,2,2,1,2,3,1,2,2,2,3,1,0,0,0,0,0,1,1,1,2,2,2,2,4,2,2,1,2,3,2,1,1,4,1,1,1,2,1,0,Normal
Psico,2,1,2,1,0,0,0,0,1,1,0,0,1,1,1,0,2,2,2,1,0,2,1,2,1,2,2,2,1,1,0,1,0,2,1,1,1,2,2,2,1,1,0,Normal
Psico,3,3,0,0,0,1,0,0,1,1,1,1,2,3,2,2,0,2,2,1,0,0,2,2,2,3,3,1,0,0,0,0,0,3,2,2,2,2,1,0,2,2,2,Normal
Eco,1,2,3,0,1,0,1,0,1,0,0,0,1,2,3,1,1,0,0,1,0,2,2,3,4,4,4,0,0,1,2,1,1,0,3,0,0,0,2,4,1,2,2,Normal
Psico,2,1,0,0,0,1,0,1,2,2,0,0,2,0,3,2,2,1,3,2,0,0,2,2,2,0,2,2,2,2,2,2,3,2,0,2,1,2,0,0,2,1,2,Normal
Eco,1,2,0,0,0,0,0,0,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,0,1,1,1,1,Normal
Psico,2,0,0,0,0,0,0,0,2,1,0,0,0,3,2,1,2,0,3,2,0,3,0,3,3,4,4,1,1,0,0,0,0,4,4,4,4,4,4,3,0,0,1,Normal
Medico,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,1,0,0,3,1,4,3,4,4,0,1,0,0,1,1,3,2,0,0,0,0,1,1,1,1,Normal
Psico,2,3,0,1,1,0,0,0,1,3,1,1,3,3,2,2,2,2,1,1,2,1,3,2,2,2,2,1,2,2,1,1,3,3,2,1,0,0,1,0,3,2,1,Normal
Enfe,2,2,1,0,0,0,0,2,3,2,2,2,3,0,1,1,1,1,1,1,2,1,1,0,2,2,2,3,1,4,4,4,1,2,2,2,0,2,2,2,2,0,0,Normal
Medico,2,2,1,0,0,0,0,0,1,1,0,0,0,0,3,2,3,3,2,2,2,2,0,2,2,2,2,2,1,2,2,1,2,4,3,4,2,2,3,1,1,1,2,Normal
Psico,2,0,0,0,0,0,0,0,0,0,2,1,1,3,2,0,3,2,0,0,2,3,1,0,1,2,4,2,1,1,0,3,1,4,3,2,2,0,4,0,0,1,0,Normal
Psico,4,3,0,1,0,0,0,0,3,2,0,0,1,3,2,2,3,3,3,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,3,2,4,2,0,0,0,Normal
Psico,1,1,0,0,0,0,0,0,1,0,1,0,0,2,2,2,3,4,0,0,4,2,0,3,3,3,4,4,1,0,1,2,0,2,2,4,4,1,4,4,1,2,3,Normal
Psico,2,2,0,0,0,2,0,0,2,3,0,0,1,2,3,2,2,3,2,0,3,3,1,1,0,1,1,2,3,3,3,3,3,3,2,2,2,2,2,1,1,1,0,Normal
Eco,2,2,0,0,0,0,0,0,1,3,0,0,2,3,2,1,3,1,0,0,2,2,0,0,0,1,1,1,2,0,0,0,3,3,2,1,2,0,2,2,1,0,0,Normal
Eco,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,Normal
Psico,0,2,0,0,1,0,0,4,3,0,0,0,0,2,3,2,2,1,4,2,3,1,1,3,4,3,3,1,3,2,3,0,2,3,1,3,3,3,2,2,0,1,0,Normal
Psico,2,1,0,0,3,0,1,2,0,3,0,0,0,2,1,0,4,4,0,1,3,3,0,0,0,2,2,2,0,0,0,0,0,3,3,4,2,2,2,2,0,1,0,Normal
Medico,2,1,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,2,2,2,2,2,0,2,2,2,2,2,Normal
Psico,2,1,1,0,0,0,0,3,1,2,0,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,Normal
Eco,3,3,2,1,2,2,3,3,2,2,0,4,2,2,3,3,3,2,3,3,2,2,4,3,3,3,3,0,2,1,3,1,3,4,4,1,2,0,4,2,3,3,3,Alto
Medico,2,2,0,0,0,0,0,0,4,1,2,1,0,4,2,2,1,1,2,1,0,0,1,4,4,3,2,3,1,0,0,1,1,4,3,3,3,1,3,2,3,1,1,Normal
Medico,2,2,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,2,2,1,1,0,3,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,1,1,Normal
Psico,2,1,1,0,0,0,2,2,1,1,0,1,2,2,2,2,1,0,1,1,0,0,2,3,3,3,3,3,1,0,0,1,0,2,1,2,3,3,2,1,2,1,1,Normal
Medico,3,3,1,0,0,0,0,0,3,2,3,3,0,0,3,3,3,3,3,2,1,1,2,3,3,3,3,2,2,0,2,1,2,2,2,3,3,3,3,3,1,2,2,Normal
Enfe,2,0,0,0,0,0,1,0,0,2,0,0,2,4,2,0,4,4,4,0,0,0,2,2,2,2,2,3,0,0,0,4,0,2,2,1,4,0,4,2,1,0,0,Normal
Medico,3,3,3,1,1,1,1,0,0,2,1,1,2,4,2,0,2,2,0,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,1,Normal
Enfe,2,2,2,0,2,0,2,0,0,0,0,0,0,1,1,0,4,4,0,2,0,0,0,4,4,1,4,0,0,4,0,4,0,0,2,0,4,0,1,2,0,0,0,Normal
Enfe,3,3,1,0,0,0,0,1,1,2,2,1,1,3,3,2,3,3,1,2,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,2,3,Alto
Medico,3,2,0,0,0,0,0,0,4,3,2,2,1,4,2,1,1,2,2,2,2,3,3,3,3,3,2,3,2,2,3,2,2,3,3,3,3,3,3,3,2,2,1,Normal
Enfe,3,2,0,0,0,0,0,0,1,3,2,2,1,3,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,Normal
Eco,2,2,3,0,0,0,1,1,3,0,0,0,0,0,2,3,4,4,4,1,1,3,3,3,3,3,3,3,3,4,4,1,1,2,2,2,2,1,1,0,3,3,3,Normal
Enfe,3,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,3,2,2,3,3,1,0,4,4,3,4,1,1,0,0,0,0,2,2,1,3,3,0,0,2,2,1,Normal
Psico,2,2,2,0,0,0,0,0,0,2,1,0,1,2,3,3,3,3,3,2,2,1,1,2,2,2,2,0,0,0,0,0,0,2,2,3,2,1,3,3,1,2,0,Normal
Medico,2,2,2,2,0,0,0,1,1,3,0,0,3,3,1,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,1,1,4,3,3,2,1,1,0,0,4,4,1,Normal
Psico,1,3,0,2,1,0,1,0,0,1,1,2,2,4,3,2,1,2,2,1,2,2,3,2,2,2,2,1,1,1,1,1,2,3,3,1,2,2,1,0,2,2,2,Normal
Enfe,4,4,1,0,0,0,0,0,0,2,0,0,0,3,4,3,3,4,4,4,2,2,2,2,3,3,4,2,0,0,0,4,0,3,3,3,3,2,4,3,0,1,2,Normal
Psico,4,2,0,0,0,0,0,1,0,2,2,1,2,2,2,0,1,0,2,1,0,1,3,3,3,2,3,2,2,1,2,1,2,2,2,3,2,3,1,0,4,4,4,Normal
Psico,2,1,0,0,1,1,0,1,4,1,2,2,0,0,2,0,2,3,3,2,4,4,1,4,4,4,4,4,2,1,2,1,3,3,3,2,4,2,3,1,4,4,0,Normal
Psico,2,1,0,1,1,1,0,1,3,2,1,1,1,3,3,2,3,3,3,3,3,3,3,1,2,1,2,2,2,3,4,3,3,4,2,3,4,4,4,4,3,3,0,Alto
Psico,3,3,2,3,2,1,2,2,0,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,3,2,1,3,3,3,4,3,1,2,1,2,2,1,2,1,2,1,Normal
Psico,3,3,0,0,0,0,1,3,2,2,2,2,1,1,3,1,3,3,3,2,2,2,1,1,2,2,2,4,2,4,1,4,2,2,2,0,4,0,3,3,1,1,1,Normal
Psico,2,2,0,1,2,2,1,2,3,3,1,0,3,3,3,1,2,3,3,3,3,2,4,2,2,3,3,3,3,3,3,1,3,3,3,4,3,3,2,2,4,4,3,Alto
Medico,2,1,2,0,0,0,1,3,0,0,0,0,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,1,3,3,4,4,2,3,4,2,3,2,Alto
Eco,2,3,0,3,3,0,1,3,2,3,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,Alto
Psico,1,2,3,0,1,0,0,0,0,0,2,1,2,4,3,2,3,3,3,3,3,1,3,4,4,4,4,1,2,1,1,4,1,4,4,2,2,2,1,3,4,3,1,Alto
Psico,2,2,1,0,0,0,0,0,2,2,1,2,3,3,2,3,3,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,4,4,2,3,3,3,3,2,Alto
Psico,3,2,3,0,0,0,0,0,2,3,3,3,4,3,2,0,4,3,2,2,2,3,4,3,2,1,2,3,2,0,1,3,4,4,3,3,3,3,2,1,4,2,1,Alto
Psico,2,1,0,0,1,0,0,0,1,3,1,2,3,3,3,2,2,2,3,2,1,1,3,3,3,3,3,2,1,1,1,1,2,3,3,4,4,2,4,2,4,2,2,Normal
Enfe,3,3,1,1,1,0,1,1,2,3,2,1,2,3,4,2,2,3,3,4,4,3,4,3,3,3,3,1,2,2,3,1,3,3,3,3,2,3,3,3,3,3,2,Alto
Psico,4,2,1,0,1,0,1,1,1,3,1,2,3,3,3,4,2,2,4,2,2,2,4,2,3,3,4,1,3,2,4,2,4,3,4,1,1,1,2,3,3,2,3,Alto
Psico,2,1,0,2,0,0,0,0,3,2,3,3,4,3,3,1,1,2,3,3,2,1,4,4,4,4,4,3,2,0,3,2,1,1,3,2,1,0,2,0,3,3,3,Normal
Enfe,4,4,0,0,4,0,1,1,1,4,2,3,4,4,4,1,4,4,4,4,4,3,4,3,3,3,3,2,2,1,1,1,2,4,4,4,3,4,4,4,4,2,2,Alto
Medico,3,1,0,0,1,0,1,1,2,1,0,0,1,0,2,2,2,3,2,2,2,1,2,3,3,3,3,3,2,3,2,2,2,2,1,2,4,2,2,2,2,2,2,Normal
Medico,4,1,2,0,0,0,0,0,3,4,0,0,4,4,3,4,2,0,4,2,3,1,4,4,4,4,4,3,2,4,2,1,3,3,4,1,4,4,0,0,3,3,3,Alto
Enfe,4,4,2,1,4,0,0,0,3,4,1,1,0,2,4,4,3,4,3,2,4,4,2,4,4,1,4,0,2,2,3,3,1,3,3,3,3,3,4,4,1,2,3,Alto
Medico,3,4,4,0,0,0,0,0,2,3,2,1,4,4,4,4,4,4,4,2,3,4,4,4,4,3,4,3,4,4,3,4,4,4,3,3,4,2,3,4,4,4,4,Alto
Medico,2,1,1,0,2,0,4,4,4,0,0,0,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,3,2,2,2,4,3,3,4,2,0,4,4,4,4,4,Alto
Enfe,4,4,0,0,0,0,0,0,3,4,2,3,3,4,3,2,2,1,1,2,2,2,3,2,2,2,3,3,3,2,2,2,3,2,2,2,3,2,2,1,1,1,1,Normal
Medico,4,4,4,4,3,3,0,0,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4,4,3,0,2,0,2,2,4,4,4,Alto
Psico,3,3,0,1,2,0,0,1,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,1,2,2,2,3,3,2,3,2,3,3,2,2,3,Alto
Medico,4,4,2,2,2,0,0,4,1,0,0,0,1,2,3,3,3,3,3,2,2,2,3,4,3,3,3,2,3,3,3,3,3,2,2,4,3,3,3,3,3,3,2,Alto
Medico,4,4,4,3,1,1,2,1,3,2,3,3,4,4,4,4,3,4,4,3,3,4,4,2,2,3,4,4,4,4,4,4,4,4,4,3,4,4,2,0,4,4,4,Alto
Enfe,3,4,2,1,3,0,0,1,2,3,1,1,4,2,3,2,3,2,3,4,3,4,4,4,4,3,4,2,3,1,3,1,4,4,3,4,3,4,1,4,4,3,1,Alto
Psico,4,4,4,4,4,4,2,2,3,3,3,3,2,2,2,3,2,3,2,3,3,4,4,3,2,3,2,4,4,4,4,4,4,4,4,2,2,2,4,2,3,2,3,Alto
Psico,4,3,1,3,4,4,3,4,2,3,1,2,3,4,4,4,2,2,4,3,2,1,4,3,4,4,4,3,4,3,4,1,4,4,3,1,1,1,2,0,4,3,2,Alto
Psico,2,3,2,0,0,0,0,0,2,2,2,2,3,4,4,3,3,4,2,4,4,2,4,3,4,4,4,3,4,3,3,3,4,4,3,4,4,4,4,2,3,2,0,Alto
Enfe,4,3,4,3,4,0,0,2,4,4,4,4,4,4,4,4,2,3,4,2,4,4,4,4,4,4,4,1,4,3,4,4,4,4,4,3,2,3,4,2,4,3,2,Alto
Enfe,2,3,2,1,4,1,3,3,3,2,2,4,4,2,3,2,3,3,2,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,Alto
Psico,4,4,3,3,3,2,4,3,3,3,2,3,3,3,3,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,Alto
Psico,4,4,0,4,2,0,1,0,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,1,4,2,2,4,Alto
Psico,4,3,0,3,3,2,3,4,4,4,3,3,4,4,3,1,3,2,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4,3,3,2,4,3,4,4,4,Alto
Medico,4,4,4,4,2,1,4,4,3,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Alto
